,log2exp,logFC,pval,FDR
Hsp90b1,12.6025007321184,5.07654476317736,9.0852432545268e-128,4.15634214682094e-125
Slk,10.0553671777868,4.99252331258545,1.38536459180038e-226,6.12654401313855e-223
Tax1bp1,9.99421591852269,4.73863655563538,3.90409401987525e-262,5.17956153616849e-258
Ddx46,9.60019684998098,4.68353885648528,7.37828110562936e-225,2.4471913857096197e-221
Ptprc,11.9309092673646,4.61749794755702,2.82578371825933e-134,1.56206969125611e-131
Tpr,9.47767395501349,4.5931260945202,1.88958834650689e-220,4.17819476551783e-217
Rgs1,9.1688113811316,4.29544949805981,3.80182811394712e-158,4.20323779897804e-155
Rbm25,8.96309676723081,4.28732706902183,4.978920199894099e-209,9.43647632742786e-206
Eif5b,9.54741673152786,4.25507766433533,1.6300912088246098e-234,1.0813210033738099e-230
Clec7a,13.9666274888189,4.18561595051046,5.07569321808696e-69,4.4892814616239805e-67
AI504432,11.0498674525636,4.08960633756786,8.79197373444828e-150,7.29019472093284e-147
Lrrfip1,12.4522054844004,4.0796372445713,2.62443418375974e-165,3.16530621054004e-162
Npm1,10.7305703798255,4.05339038305302,1.0755980088672401e-67,9.03161948331754e-66
Alas2,11.8195027623229,-4.05122472552864,0.0001568037722595,0.0003612913592509
Gypa,8.97616630318921,-4.0108388838751,1.67507136975424e-06,4.7132920175036e-06
Eea1,8.79190901073953,3.99607688155342,4.55004892930709e-138,2.87454757833892e-135
Kif5b,8.90974727388858,3.91886907107657,4.44389440288483e-102,1.03433591303637e-99
Baz1a,11.3046048374642,3.91805183955491,3.3967253360571596e-222,9.012871006694071e-219
Smc6,8.71843773972833,3.72964151952426,1.06193449115116e-147,7.827047163390221e-145
Eif3e,10.4417698500315,3.68950967292457,6.8730975452801104e-46,2.65846603886972e-44
Rock2,8.25351923419741,3.63217978756086,3.09752444554057e-136,1.86794803722667e-133
Shtn1,10.9883493758313,3.60205741388197,1.4851490335234202e-148,1.15902777810325e-145
Anxa1,12.4654264619316,3.59660103453221,8.56790628500054e-73,8.61139490023501e-71
Cast,10.5793814178951,3.57031152838493,1.9023465311932303e-198,3.15480392866757e-195
Plek,11.9765641234153,3.55695176713476,3.09890348985401e-43,1.07065501562222e-41
Smc1a,8.50332885662666,3.54798200773247,1.90876979496872e-133,1.012945954794e-130
Zeb2,10.0571926358116,3.54304767777922,3.19816678061529e-153,3.03071990560165e-150
Calm1,12.7138056409278,3.51503979924851,5.59335066310068e-109,1.51442822953789e-106
Eif5,10.9475963552421,3.49507517618875,2.90317256806479e-100,6.212321042018631e-98
Clec2d,13.8189746070081,-3.47542401265559,2.23313393407783e-44,8.09480543809032e-43
Pnn,8.33275143857331,3.46608099056248,1.1322826873572902e-117,4.05999849004572e-115
Phip,8.1839799221194,3.46360535157158,1.27900193611421e-100,2.7817243748241402e-98
Ncl,9.98351817488168,3.4389071371203,4.94207673933253e-53,2.56119266018456e-51
