,log2exp,logFC,pval,FDR
Cxcl9,12.5289559767143,5.91456966395693,1.58667005687292e-25,9.15232680197088e-23
Cxcl10,10.9931300456589,5.39800591212009,2.11069970791684e-34,3.11140589165919e-31
Acod1,10.4941263876725,5.21078636057023,4.76590660141688e-22,2.0396542864838e-19
LOC108167568,9.66268073661889,-5.12633030565142,1.88845498749099e-16,3.47974059986707e-14
Ddx3y,9.64119878421801,5.10422362525592,1.97664679416127e-191,2.62241730181376e-187
Slfn4,9.78817453508097,5.02320009624725,1.97317398896929e-20,6.5445248279139e-18
Serpina3g,9.69066492298904,5.01641001411957,1.08237300481099e-14,1.4057530117597998e-12
Xist,9.75755205921134,-5.01452147444058,1.79335348982995e-45,4.7584841499147896e-42
Gm12250,10.0286447356551,4.9884593211181,1.5048291112866798e-28,1.3309711879627e-25
Irf1,12.8241866952348,4.75589869402869,3.91649373990976e-94,2.59800612236914e-90
Gbp4,9.52920006460597,4.62634132565148,3.0195539751101398e-18,7.15364689067611e-16
Alas2,10.4331434778357,-4.52670114569065,2.65355560910779e-06,4.84246523604306e-05
Gbp2,11.5351943604736,4.50814406360079,8.17585310452767e-27,6.3805319492805005e-24
Gbp3,10.0773535388784,4.23486029207894,2.12009273883659e-17,4.68787839435751e-15
Gbp5,9.92692395845297,4.17229154731338,1.39382944889293e-26,1.02732973880347e-23
Ly6i,8.83672980156417,4.00870174159882,3.785397898457521e-09,1.65200243154066e-07
Rtp4,10.0949115737378,3.88110999066432,3.34962245309221e-20,1.05808193059939e-17
Il2rb,8.99721869259872,3.81237917709579,1.1314947037896602e-25,6.82342737962613e-23
Oasl2,8.95663832427279,3.73720246216433,7.51390987291837e-24,3.98748169136032e-21
Oas3,9.30417700370469,3.70154728685012,5.45965061785657e-20,1.68449266853728e-17
Ifit1,9.07966996076951,3.68752821491488,3.7829111514333e-22,1.67292940820219e-19
Irgm1,10.2077515499305,3.66645441637144,4.67771967008326e-17,9.850683629046761e-15
Slamf8,8.54477665347702,3.63597885726571,8.48867128873037e-11,5.09589149265094e-09
Gdap10,8.7307767398048,3.51831566231714,1.08320030408559e-25,6.82342737962613e-23
Il18bp,9.74457692448295,3.51151800574762,3.5163732889225005e-10,1.91195591902192e-08
Slfn5,8.91409440438148,3.4554487967939,1.40519185662935e-16,2.74157064145612e-14
Csf1,8.51238383200026,3.41841800921368,3.13921889698764e-12,2.44988335919618e-10
Slfn1,8.69675023652217,3.3969731119506,3.0956933327802403e-15,4.51324873032916e-13
Eif2s3y,8.01731106995909,3.39077127935467,5.48436983654256e-61,2.425371154047e-57
Irf7,9.93289139493172,3.36465800463723,1.20290211641364e-12,9.974313986537389e-11
Gzmb,8.00168185042317,3.34755404721459,8.88566209141698e-19,2.18307553642276e-16
Cmpk2,8.6163701549837,3.33873547504486,8.11689986679796e-22,3.36521595415027e-19
Plac8,8.40670696131252,3.33816428051263,2.7189129858717703e-15,4.0530133239956e-13
Tcf7,8.18821105547154,3.26466261132685,1.2250128398047701e-20,4.16724239633076e-18
Ifi205,8.42870911333748,3.2352962116537,2.89315392577107e-11,1.89081148439433e-09
Fgl2,9.31489789281983,3.20593046393207,1.16937825146797e-11,7.99698003207501e-10
Ms4a4b,7.99439272540452,3.17731136902964,8.939266298657121e-20,2.57820099965835e-17
Snca,8.27925589265712,-3.16653750251756,2.07155404619294e-05,0.000277049471077
Oasl1,8.22091569432436,3.06740722816776,1.19452202132571e-21,4.80234050209944e-19
Oas2,7.96185159289952,3.03535189689762,3.52931270354307e-16,6.08095995297479e-14
Vps37b,8.42670155116942,3.01974753553739,2.78608906322576e-16,4.99500589213733e-14
Nlrc5,9.13199982291924,2.9784131086653,2.54908296750634e-26,1.77993072262667e-23
Nkg7,7.81618368143234,2.96214850077251,2.7674612693369e-20,8.95509967324212e-18
C4b,7.74446013071313,2.95705522528426,3.6825899013087e-05,0.0004440514072523
S100a9,8.83929128514284,2.92374100838865,7.08008554302085e-10,3.62669864475898e-08
Fam26f,8.3491583416759,2.91893407268334,1.2736793625563599e-12,1.0495592610580901e-10
Igtp,9.61985060068949,2.91825561692178,1.0866336239715e-18,2.62115787076907e-16
Thy1,9.12455215998556,2.90846255869332,8.269068077177791e-19,2.11649350245877e-16
Gadd45b,10.4867721850448,2.90122132905098,2.21838501791854e-21,8.656268833154499e-19
H2-Q6,11.0947100185982,2.88847735616714,1.0913737861706401e-14,1.4057530117597998e-12
AW112010,12.6305325807634,2.8403399809821,2.95665258495939e-13,2.6867061537435797e-11
Ly6a,8.13916049849702,2.83050915986199,2.66651515389427e-15,4.02007460758128e-13
Lck,7.72711684322195,2.80309073420524,1.8092374563610602e-19,4.80063066670844e-17
Ccl5,8.79202202590083,2.78762125180347,5.11007693785669e-21,1.8832052981818e-18
Sell,7.67016444920201,2.75481391996618,5.64455755381142e-10,2.93671941436926e-08
Slfn8,7.98465580272549,2.70509658364696,2.56713947734787e-08,8.62233910024665e-07
H2-Q7,9.19875196519374,2.69893282687863,8.85220985460608e-19,2.18307553642276e-16
Il1r2,7.73616700678619,2.62435154304657,9.394389867721341e-09,3.60217833453928e-07
Ifi203,8.83837230138966,2.60902368604457,1.1564638236687e-15,1.84853078898948e-13
Ets1,7.7806308956052,2.56903235828104,1.8191848894810198e-22,8.61968783169452e-20
Zbp1,10.262249849743,2.56678866751274,7.610451321434849e-11,4.58944807643074e-09
Malat1,14.1289855556629,2.54826784692727,1.8348684684934e-13,1.7639999979349297e-11
Cd8b1,7.34213641530985,2.52265372386888,2.32348689141224e-11,1.5490301803199102e-09
